"doi:10.6085/AA/WRK001_024MXTI014R00_20041004.50.4","doi:10.6085/AA/WRK001_024MXTI014R00_20041004.40.2"
"doi:10.6085/AA/SMSXXX_015MTBD009R00_20030904.50.2","doi:10.6085/AA/SMSXXX_015MTBD009R00_20030904.40.1"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-fce/1094/7","https://pasta.lternet.edu/package/report/eml/knb-lter-fce/1094/7"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-fce/1094/7","https://pasta.lternet.edu/package/data/eml/knb-lter-fce/1094/7/46366b5e5cce74e5a1a315739cec95af"
"doi:10.6085/AA/BEAXXX_015MTBD014R00_20060617.50.2","doi:10.6085/AA/BEAXXX_015MTBD014R00_20060617.40.2"
"doi:10.6085/AA/BIG001_026MHP2015R00_20090315.50.1","doi:10.6085/AA/BIG001_026MHP2015R00_20090315.40.1"
"https://pasta.lternet.edu/package/metadata/eml/ecotrends/12174/2","https://pasta.lternet.edu/package/report/eml/ecotrends/12174/2"
"https://pasta.lternet.edu/package/metadata/eml/ecotrends/12174/2","https://pasta.lternet.edu/package/data/eml/ecotrends/12174/2/8ad352640070fb1702448c7f23058003"
"doi:10.6085/AA/SMGXXX_015MTBD003R00_20030912.50.5","doi:10.6085/AA/SMGXXX_015MTBD003R00_20030912.40.2"
"doi:10.5063/F1JW8BSV","couture.10.2"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/65ebae3d9a58fb37bdbb545a76ad034d"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/5ec868061fceb612137c1cc4eed40c0b"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/dc78964d42ba1d38fc9a9ad8c14c5c91"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/a664816da9e955b61fa19a9a9524122f"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/3f281ef1d3f8543771e92b5ef4469a10"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/3f2e6d312fd06fd18a84b16a080817b9"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/e58f30ec80ed8dd041e86ada81ad5853"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/c29f033e1e81df95d2a3c61fcf433ed4"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/c50e835215e65d93e095ab17b5286eec"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/477f8eb5faa1db3dbca1590a85b7743e"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/642fb7bccee210d1ba2919c466ef4b66"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/ec798a8121c5ca14dbc0679cb33767dc"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/6a95cfc053870f72d1bcf4b22c773641"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/report/eml/lter-landsat/3065/1"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/3065/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/3065/1/839ca7269f0ebb6c758e0b5e7ce1d28e"
"https://pasta.lternet.edu/package/metadata/eml/ecotrends/37/2","https://pasta.lternet.edu/package/report/eml/ecotrends/37/2"
