"doi:10.6085/AA/TPT001_018MXTI011R00_20041014.50.1","doi:10.6085/AA/TPT001_018MXTI011R00_20041014.40.1"
"doi:10.6085/AA/YBHX00_XXXITBDXMMR01_20030827.50.3","doi:10.6085/AA/YBHX00_XXXITBDXMMR01_20030827.40.1"
"doi:10.6085/AA/WILXXX_015MTBD014R00_20000427.50.1","doi:10.6085/AA/WILXXX_015MTBD014R00_20000427.40.1"
"doi:10.6085/AA/WILXXX_015MTBD014R00_20010322.50.4","doi:10.6085/AA/WILXXX_015MTBD014R00_20010322.40.2"
"https://pasta.lternet.edu/package/metadata/eml/ecotrends/11879/2","https://pasta.lternet.edu/package/report/eml/ecotrends/11879/2"
"https://pasta.lternet.edu/package/metadata/eml/ecotrends/11879/2","https://pasta.lternet.edu/package/data/eml/ecotrends/11879/2/23e1a3c9b3577754f1eb6997d7d83971"
"ark:/90135/q1gb221v/1/mrt-eml.xml","ark:/90135/q1gb221v/1/ptu_data_september_2013-ptu_data_september_2013.csv"
"doi:10.6085/AA/SSM001_022MTBD000R00_20060220.50.5","doi:10.6085/AA/SSM001_022MTBD000R00_20060220.40.2"
"doi:10.5063/AA/tao.1.1","doi:10.5063/AA/tao.2.1"
"doi:10.5063/AA/bowdish.143.5","doi:10.5063/AA/bowdish.142.1"
"doi:10.5063/AA/bowdish.143.5","doi:10.5063/AA/bowdish.144.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.46.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.49.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.43.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.44.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.45.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.36.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.34.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.40.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.35.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.25.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.39.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.26.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.31.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.28.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.29.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.33.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.30.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.27.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.47.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.42.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.41.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.37.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.24.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.32.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.23.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.38.1"
"doi:10.5063/AA/datastar.50.3","doi:10.5063/AA/datastar.48.1"
"doi:10.5063/AA/nceas.940.1","doi:10.5063/AA/nceas.939.1"
"doi:10.6085/AA/SRKX00_XXXITV2XLSR01_20100808.50.1","doi:10.6085/AA/SRKX00_XXXITV2XLSR01_20100808.40.1"
"doi:10.6085/AA/WRK001_024MXTI023R00_20030816.50.4","doi:10.6085/AA/WRK001_024MXTI023R00_20030816.40.2"
"doi:10.6085/AA/SSM001_022MTBD000R00_20030213.50.4","doi:10.6085/AA/SSM001_022MTBD000R00_20030213.40.2"
"doi:10.6085/AA/SHLX00_XXXITBPXLSR02_20130723.50.2","doi:10.6085/AA/SHLX00_XXXITBPXLSR02_20130723.40.2"
"doi:10.6085/AA/LB30XX_030MTV2001R00_20120614.50.2","doi:10.6085/AA/LB30XX_030MTV2001R00_20120614.40.2"
"doi:10.6085/AA/LAC001_023MTBD004R00_20080629.50.3","doi:10.6085/AA/LAC001_023MTBD004R00_20080629.40.1"
"doi:10.6085/AA/MB042X_042MTBD032R00_20050627.50.5","doi:10.6085/AA/MB042X_042MTBD032R00_20050627.40.2"
"doi:10.6085/AA/PELXXX_015ADCP015R00_20020709.50.5","doi:10.6085/AA/PELXXX_015ADCP015R00_20020709.40.2"
"doi:10.6085/AA/ARGXXX_015MTBD003R00_20080516.50.1","doi:10.6085/AA/ARGXXX_015MTBD003R00_20080516.40.1"
"doi:10.6085/AA/ANSXXX_015MTBD009R00_20090317.50.1","doi:10.6085/AA/ANSXXX_015MTBD009R00_20090317.40.1"
"doi:10.6085/AA/ARGXXX_015MTBD009R00_20000322.50.5","doi:10.6085/AA/ARGXXX_015MTBD009R00_20000322.40.2"
"doi:10.6085/AA/ARGXXX_015MTBD009R00_20000322.50.3","doi:10.6085/AA/ARGXXX_015MTBD009R00_20000322.40.2"
"doi:10.6085/AA/ALEXXX_015MTBD014R00_20000616.50.6","doi:10.6085/AA/ALEXXX_015MTBD014R00_20000616.40.2"
"menger.314.2","menger.313.5"
"menger.268.3","menger.267.8"
"menger.62.3","menger.61.2"
"naman.250.3","naman.251.1"
"pezzini.60.20","naman.433.1"
"pezzini.60.20","pezzini.72.2"
"pezzini.60.20","pezzini.71.1"
"pezzini.60.20","pezzini.73.3"
"menger.333.3","menger.319.4"
"pezzini.97.3","pezzini.72.2"
"pezzini.97.3","pezzini.71.1"
"pezzini.97.3","naman.449.1"
"pezzini.97.3","pezzini.73.3"
"menger.93.1","menger.92.1"
"9ffb1aae-c7f2-477e-a7d7-7cc055ba13ed-20160620-sajddh-tray16-121-16-Enr-1-Rla_summary_Calc_last.xml","9ffb1aae-c7f2-477e-a7d7-7cc055ba13ed-20160620-sajddh-tray16-121-16-Enr-1-Rla_summary_Calc_last.csv"
"dddbf655-1ffd-4973-baf8-fb492b73cb9f-PRISM-AgT-mean-celcius-Torrance.xml","dddbf655-1ffd-4973-baf8-fb492b73cb9f-PRISM-AgT-mean-celcius-Torrance.xlsx"
"b19dd551-b7ba-4ce0-95d4-f59c3434af14-PRISM-T-mean-celcius-Harding.xml","b19dd551-b7ba-4ce0-95d4-f59c3434af14-PRISM-T-mean-celcius-Harding.xlsx"
"be9d823b-95c4-4172-a016-9cfe4d631994-Guard_Column_Test.xml","be9d823b-95c4-4172-a016-9cfe4d631994-Guard_Column_Test.docx"
"e988e209-cee5-457b-a201-8ffa67e733b1-PRISM-T-max-celcius-Mora.xml","e988e209-cee5-457b-a201-8ffa67e733b1-PRISM-T-max-celcius-Mora.xlsx"
"6d17a429-ea02-428a-8936-bb0778f98a0b-225_1_Chlor_Neg.xml","6d17a429-ea02-428a-8936-bb0778f98a0b-225_1_Chlor_Neg.xlsx"
"2428bbfb-50a3-4159-ac2a-d63c1fbe63cb-20160616-sajddh-tray9_11-121-11-Enr-3-CR3000_2_RawData.xml","2428bbfb-50a3-4159-ac2a-d63c1fbe63cb-20160616-sajddh-tray9_11-121-11-Enr-3-CR3000_2_RawData.dat"
"0d9d779f-c79b-4806-9c6a-ca1d3d254c5b-20160621-sajddh-tray4_6-222-4-Pre-4-CR3000_2_RawData.xml","0d9d779f-c79b-4806-9c6a-ca1d3d254c5b-20160621-sajddh-tray4_6-222-4-Pre-4-CR3000_2_RawData.dat"
"zoeyeh.56.5","zoeyeh.59.1"
"zoeyeh.56.5","zoeyeh.57.3"
"zoeyeh.56.5","zoeyeh.58.1"
"chinmeilee.7.15","chinmeilee.9.1"
"cpwang.3.39","cpwang.73.2"
"thchen.127.16","thchen.138.1"
"thchen.127.16","thchen.139.1"
"thchen.127.16","thchen.142.1"
"doi:10.5063/F1Z60KZS","df35b.15.1"
"doi:10.5063/F1Z60KZS","df35b.18.1"
"doi:10.5063/F1Z60KZS","df35b.17.2"
"df35l.14.19","df35l.17.1"
